REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,University of Illinois Alumni Association,Alumni Association,Urbana,IL,"FIA Card Services, N.A.",,,25528,3272457,330
2009,The Penn State Alumni Association,Alumni Association,State College,PA,"FIA Card Services, N.A.",,,74832,2835000,1569
2009,University of Notre Dame du Lac,University,Notre Dame,IN,Chase Bank,,,27574,1860000,77
2009,Wisconsin Alumni Association,Alumni Association,Madison,WI,"FIA Card Services, N.A.",,,22847,1652449,316
2009,Golden Key International Honour Society,Other,Atlanta,GA,"FIA Card Services, N.A.",,,38692,1540442,399
2009,University of Southern California,University,Los Angeles,CA,"FIA Card Services, N.A.",,,21824,1502850,659
2009,Alumni Association of the University of Michigan and the Regents of the University of Michigan,"Alumni Association, University",Ann Arbor,MI,"FIA Card Services, N.A.",,,38358,1500000,947
2009,University of Tennessee,University,Knoxville,TN,Chase Bank,,,10963,1428571.4,9
2009,The Greater University of South Carolina Alumni Association,Alumni Association,Columbia,SC,Chase Bank,,,6964,1425000,1
2009,"Duke Alumni Association, Inc.",Alumni Association,Durham,NC,Chase Bank,,,8418,1375000,4
2009,California Alumni Association and The Regents of the University of California,"Alumni Association, University",Berkeley,CA,"FIA Card Services, N.A.",,,20524,1351950,653
2009,Arizona State University Alumni Association,Alumni Association,Tempe,AZ,"FIA Card Services, N.A.",,,10260,1316012,497
2009,University of Miami,University,Coral Gables,FL,"FIA Card Services, N.A.",,,5897,1303333,185
2009,"The Arch Foundation for the University of Georgia, Inc.",Foundation,Athens,GA,"FIA Card Services, N.A.",,,21889,1254813,587
2009,General Alumni Associationof the University of North Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC,"FIA Card Services, N.A.",,,20411,1250000,137
2009,The Association of Former Students of Texas A&M University,Alumni Association,College Station,TX,"FIA Card Services, N.A.",,,36731,1157434,475
2009,Yale University,University,New Haven,CT,Chase Bank,,,10667,1140400,6
2009,Indiana University Alumni Association,Alumni Association,Bloomington,IN,"FIA Card Services, N.A.",,,29903,1131221,355
2009,Boston College,University,Boston,MA,GE Capital Retail Bank,,,868,1097244,45
2009,University of Washington Alumni Association,Alumni Association,Seattle,WA,"FIA Card Services, N.A.",,,6604,1045617,453
2009,State University of Iowa Alumni Association,Alumni Association,Iowa City ,IA,"FIA Card Services, N.A.",,,19961,1014360,371
2009,Auburn Spirit Foundation for Scholarships,Foundation,Auburn,AL,"FIA Card Services, N.A.",,,15535,1011775,340
2009,Purdue Alumni Association,Alumni Association,West Lafayette,IN,Purdue Federal Credit Union,,,14176,1000000,2374
2009,Harvard Alumni Association,Alumni Association,Cambridge,MA,Barclays Bank Delaware,,,5771,1000000,1326
