REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2015,Lambda Theta Phi,University,Parsippany,NJ,UMB Bank,Same,Yes,13,113.29,2
2015,Longwood University Alumni Association,Alumni Association,Farmville,VA,UMB Bank,Same,Yes,4,17.77,1
2015,Martin Luther College Alumni Association,Alumni Association,New ULM,MN,UMB Bank,Same,Yes,37,324.85,2
2015,McNeese State University Alumni Association,Alumni Association,Lake Charles,LA,UMB Bank,Same,Yes,11,236.61,3
2015,National Student Nurses Association,University,Brooklyn,NY,UMB Bank,Same,Yes,35,605.76,20
2015,New York Women in Communications Foundation,Foundation,New York,NY,UMB Bank,Same,Yes,5,11.44,0
2015,Northwest College Foundation,Foundation,Powell,WY,UMB Bank,Same,Yes,12,293.48,0
2015,Park University,University,Parkville,MO,UMB Bank,Same,Yes,7,37.05,1
2015,Phi Kappa Sigma Intl. Fraternity,Other,Chester Springs,PA,UMB Bank,Same,Yes,7,114.27,1
2015,"Phi Lota Alpha Fraternity, Inc.",Other,Brooklyn,NY,UMB Bank,Same,Yes,22,147.87,0
2015,"Phi Rho Eta Fraternity, Inc.",Other,Chicago,IL,UMB Bank,Same,Yes,1,13.54,0
2015,Regis University Alumni Associatoin,Alumni Association,Denver,CO,UMB Bank,New,Yes,42,1432.06,0
2015,Russell Sage College Alumni Association,Alumni Association,Troy,NY,UMB Bank,Same,Yes,1,0,0
2015,Salisbury University Alumni Association,Alumni Association,Saisbury,MD,UMB Bank,Same,Yes,10,173.45,6
2015,"Sigma XI, The Scientific Research Society",Other,Research Triangle Park,NC,UMB Bank,Same,Yes,5,61.05,2
2015,Southeast Missouri University Foundation,Foundation,Cape Girardeau,MO,UMB Bank,Same,Yes,4,0,0
2015,St. Joseph's University,University,Philadelphia,PA,UMB Bank,Same,Yes,15,272.83,8
2015,St. Louis College of Pharmacy Alumni Association,Alumni Association,St. Louis,MO,UMB Bank,Same,Yes,3,63.67,1
2015,The Principia,University,St. Louis,MO,UMB Bank,Same,Yes,211,4717.97,16
2015,UMKC Alumni Association,Alumni Association,Kansas City,MO,UMB Bank,Same,Yes,9,168.84,2
2015,UMKC Bloch School of Business,University,Kansas City,MO,UMB Bank,Same,Yes,1,0,0
2015,UMKC College of Arts and Sciences,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC Conservatory of Music and Dance,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Biological Sciences,University,Kansas City,MO,UMB Bank,Same,Yes,1,0,0
2015,UMKC School of Computing and Engineering,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Dentistry,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Education,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Graduate Studies,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Law,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Medicine,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Nursing,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,UMKC School of Pharmacy,University,Kansas City,MO,UMB Bank,Same,Yes,0,0,0
2015,University of Louisiana Monroe Alumni Association,Alumni Association,Monroe,LA,UMB Bank,Same,Yes,12,11.3,0
2015,University of South Dakota Alumni Association,Foundation,Vermillion,SD,UMB Bank,Same,Yes,5,12.56,1
2015,University of Texas at Tyler Foundation,University,Tyler,TX,UMB Bank,Same,Yes,5,0,1
2015,Valdosta State University Alumni ,Alumni Association,Valdosta,GA,UMB Bank,Same,Yes,11,186.19,2
2015,Widener University,University,Chester ,PA,UMB Bank,Same,Yes,0,0,0
2015,William Jewell College,University,Liberty,MO,UMB Bank,Same,Yes,32,1881.46,0
2015,Worcester Polytechnic Institute Alumni Association (WPI Alumni Assn),Alumni Association,Worcester,MA,UMB Bank,Same,Yes,8,54.67,0
2015,University Of South Florida,Alumni Association,Tampa,FL,USF Federal Credit Union,Same,Yes,1611,239600,549
2015,University of Maine Alumni Association,Alumni Association,Orono,ME,University Credit Union,Same,Yes,276,4623.92,59
2015,Kentucky Christian University,University,Grayson,KY,First National Bank of Omaha,Same,Yes,33,335.21,0
2015,Arizona State University,University,Tempe,AZ,First National Bank of Omaha,Same,No,0,0,0
2015,University of Central Oklahoma,University,Edmond,OK,First National Bank of Omaha,Same,No,0,0,0
2015,Yale University,University,New Haven,CT,First National Bank of Omaha,New,Yes,7889,518242.31,615
2015,Indiana University of Pennsylvania Alumni Association,Alumni Association,Indiana,PA,First National Bank of Omaha,New,Yes,154,1053.26,58
2015,Alumni Association of the University of Mississippi,Alumni Association,University,MI,First National Bank of Omaha,New,Yes,305,4351.63,204
2015,Northern Illinois Alumni Association,Alumni Association,DeKalb,IL,First National Bank of Omaha,New,Yes,69,25000,75
2015,University of Washington Alumni Association,Alumni Association,Seattle,WA,Boeing Employees' Credit Union,New,Yes,7775,300000,5171
2015,Massachusetts Institute of Technology (MIT) Alumni Association,Alumni Association,Cambridge,MA,MIT Federal Credit Union,Same,Yes,661,56607,486
2015,Ohio University Foundation,Foundation,Athens,OH,Comenity Capital Bank,Same,Yes,157,50000,49
2015,University of West Florida Foundation Inc,Foundation,Pensacola,FL,Pen Air Federal Credit Union,Same,Yes,106,1192.94,22
2015,California Southern University,University,Irvine,CA,Pen Air Federal Credit Union,Same,Yes,3,0,1
2015,Pensacola State College,University,Pensacola,FL,Pen Air Federal Credit Union,Same,Yes,3,0,3
2015,University of Utah Alumni Association,Alumni Association,Salt Lake City,UT,Mountain America Federal Credit Union,Same,Yes,3405,38358.11,2529
2015,Ball State University Alumni Association,Alumni Association,Muncie,IN,"INTRUST Bank, N.A.",SAME,Yes,388,15946,10
2015,Bethel College Alumni Association,Alumni Association,North Newton,KS,"INTRUST Bank, N.A.",SAME,Yes,448,10058.41,3
2015,Butler Community College Foundation,Foundation,El Dorado,KS,"INTRUST Bank, N.A.",SAME,Yes,353,17899.92,11
2015,Emporia State University Alumni Association,Alumni Association,Emporia,KS,"INTRUST Bank, N.A.",SAME,Yes,747,16891.72,4
2015,Fort Hays State University Alumni Association,Alumni Association,Hays,KS,"INTRUST Bank, N.A.",SAME,Yes,678,18472.99,12
2015,Kansas State University Alumni Association,Alumni Association,Manhattan,KS,"INTRUST Bank, N.A.",SAME,Yes,10612,873628.98,118
2015,The Kansas University Alumni Association,Alumni Association,Lawrence,KS,"INTRUST Bank, N.A.",SAME,Yes,9627,912397.23,117
2015,"Pittsburg State Univesity Alumni Association, Inc. ",Alumni Association,Pittsburg,KS,"INTRUST Bank, N.A.",SAME,Yes,473,17507.09,31
2015,Washburn University ,University,Topeka,KS,"INTRUST Bank, N.A.",SAME,Yes,341,8103.86,4
2015,Western Illinois University Alumni Association,Alumni Association,Macomb,IL,"INTRUST Bank, N.A.",SAME,No,0,7317.46,4
2015,"Wichita State University Alumni Association, Inc. ",Alumni Association,Wichita,KS,"INTRUST Bank, N.A.",SAME,Yes,3652,215117.82,177
2015,University of Southern California,University,Los Angeles,CA,USC Credit Union,New,Yes,1606,235750,49
2015,Alumni Association of the University of Oregon,Alumni Association,Eugene,OR,"Oregon Community Credit Union and OCCU Card Services, LLC",Amended,Yes,5126,41691.5,1147
2015,Oregon State University Alumni Association,Alumni Association,Corvallis,OR,"Oregon Community Credit Union and OCCU Card Services, LLC",Same,Yes,1262,0,188
2015,University of Wyoming Alumni Association,Alumni Association,Laramie,WY,First Interstate Bank,Same,Yes,106,4640,31
2015,Ivy Tech Community College Northeast,University,Fort Wayne,IN,ProFed Federal Credit Union,New,Yes,0,60,0
2015,University of Wisconsin-Green Bay Alumni Association,Alumni Association,Green Bay,WI,University of Wisconsin (UW) Credit Union,Same,Yes,167,5000,43
2015,University of Wisconsin Oshkosh Alumni Association,Alumni Association,Oshkosh,WI,University of Wisconsin (UW) Credit Union,Same,Yes,305,5000,93
2015,University of Wisconsin La Crosse Alumni Association,Alumni Association,La Crosse,WI,University of Wisconsin (UW) Credit Union,Same,Yes,152,10000,38
2015,The University of West Georgia Foundation,Alumni Association,Carrollton,GA,The Southern Credit Union,Same,Yes,42062,19.45,11
2015,Biola University Incorporated,University,La Mirada,CA,Christian Community Credit Union,Same,Yes,152,36917,137
2015,Wright State University Alumni Association,Alumni Association,Fairborn,OH,Wright-Patt Credit Union,Same,Yes,454,6259,76
2015,Coastal Carolina University,University,Conway,SC,Carolina Trust Federal Credit Union,Same,Yes,146,1493.57,21
2015,Bemidji State University Alumni Association ,Alumni Association,Bemidji,MN,U.S. Bank National Association ND,Same,Yes,265,4097.62,4
2015,Bridgewater State College Alumni Association,Alumni Association,Bridgewater,MA,U.S. Bank National Association ND,Amended ,Yes,500,0,1
2015,Delta Delta Delta,Other,Arlington,TX,U.S. Bank National Association ND,Same,Yes,825,11608.32,26
2015,Delta Sigma Pi,Other,Oxford,OH,U.S. Bank National Association ND,Same,Yes,681,17393.99,32
2015,Jacksonville State University Alumni Association ,Alumni Association,Jacksonville,AL,U.S. Bank National Association ND,Same,Yes,538,5454.25,40
2015,Northern Kentucky University Foundation,Foundation,Highland Heights,KY,U.S. Bank National Association ND,Amended ,No,314,0,16
2015,Northwest Missouri State University Alumni Association,Alumni Association,Maryville,MO,U.S. Bank National Association ND,Same,Yes,322,4895.73,15
2015,Ohio Northern University Alumni Association,Alumni Association,Ada,OH,U.S. Bank National Association ND,Same,No,300,0,0
2015,Rensselaer Polytechnic Institute Alumni Association,Alumni Association,Troy,NY,U.S. Bank National Association ND,Same,Yes,740,9015.27,30
2015,Sigma Chi,Other,Evanston,IL,U.S. Bank National Association ND,Same,Yes,1101,17611.31,73
2015,South Dakota State University Alumni Association ,Alumni Association,Brookings,SD,U.S. Bank National Association ND,Same,Yes,620,0,24
2015,"SUNY College at Oneonta Alumni Association, Inc. ",Alumni Association,Oneonta,NY,U.S. Bank National Association ND,Same,No,555,0,13
2015,The Citadel Alumni Association,Alumni Association,Charleston,SC,U.S. Bank National Association ND,Same,Yes,380,0,17
2015,The College of New Jersey Alumni Association,Alumni Association,Ewing,NJ,U.S. Bank National Association ND,Same,Yes,639,3551.7,21
2015,University of Massachusetts Lowell,University,Lowell,MA,U.S. Bank National Association ND,Amended,Yes,694,0,28
2015,University Louisiana Lafayette Alumni Association,Alumni Association,Lafayette,LA,U.S. Bank National Association ND,Same,Yes,1357,38322.44,80
2015,University of Alabama at Birmingham National Alumni Society,Alumni Association,Birmingham,AL,U.S. Bank National Association ND,Same,Yes,616,0,36
2015,University of North Alabama Alumni Association,Alumni Association,Florence,AL,U.S. Bank National Association ND,Same,Yes,320,4473.21,17
2015,University of North Dakota Alumni Association ,Alumni Association,Grand Forks,ND,U.S. Bank National Association ND,Same,Yes,1538,34237.99,51
2015,University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI,U.S. Bank National Association ND,Same,Yes,554,19658.83,18
2015,University of Wisconsin Milwaukee Alumni Association ,Alumni Association,Milwaukee,WI,U.S. Bank National Association ND,Same,Yes,999,5451.695,49
2015,University of Wisconsin Stevens Point Alumni Association,Alumni Association,Stevens Point,WI,U.S. Bank National Association ND,Same,Yes,401,0,29
2015,Weber State Alumni Association ,Alumni Association,Ogden,VT,U.S. Bank National Association ND,Same,No,500,0,5
2015,Bloomsburg University of Pennsylvania,University,Bloomsburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,29,25,5
2015,California University of Pennsylvania,University,California,PA,Pennsylvania State Employees Credit Union,Same,Yes,16,15,3
2015,"Clarion University Foundation, Inc.",Foundation,Clarion,PA,Pennsylvania State Employees Credit Union,Same,Yes,4,0,0
2015,Community College of Philadelphia,University,Philadelphia,PA,Pennsylvania State Employees Credit Union,New,Yes,6,30,6
2015,East Stroudsburg University of Pennsylvania,University,East Stroudsburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,17,10,2
2015,Elizabethtown College,University,Elizabethtown,PA,Pennsylvania State Employees Credit Union,Same,Yes,21,0,0
2015,Harrisburg Area Community College - Harrisburg Campus,University,Harrisburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,44,50,10
2015,Harrisburg Area Community College - Lancaster Campus,University,Lancaster,PA,Pennsylvania State Employees Credit Union,Same,Yes,1,10,2
2015,Harrisburg Area Community College - York Campus,University,York,PA,Pennsylvania State Employees Credit Union,Same,Yes,0,0,0
2015,Kutztown University Foundation Inc.,Foundation,Kutztown,PA,Pennsylvania State Employees Credit Union,Same,Yes,149,2500,50
2015,Kutztown University of Pennsylvania,University,Kutztown,PA,Pennsylvania State Employees Credit Union,Same,Yes,27,25,5
2015,Millersville University of Pennsylvania,University,Millersville,PA,Pennsylvania State Employees Credit Union,Same,Yes,19,20,4
2015,Millersville University Alumni Association,Alumni Association,Millersville,PA,Pennsylvania State Employees Credit Union,Same,Yes,316,3100,62
2015,Northampton Community College,University,Bethlehem ,PA,Pennsylvania State Employees Credit Union,Same,Yes,9,20,4
2015,Northampton Community College Monroe Campus,University,Tannersville,PA,Pennsylvania State Employees Credit Union,New,Yes,0,0,0
2015,Reading Area Community College,University,Reading,PA,Pennsylvania State Employees Credit Union,Same,Yes,8,20,4
2015,"Shippensburg University Student Services, Inc.",Other,Shippensburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,25,25,5
2015,Susquehanna University,University,Selinsgrove,PA,Pennsylvania State Employees Credit Union,Same,Yes,11,50,6
2015,Alpha Omicron Pi Fraternity Inc,Other,Brentwood,TN,"FIA Card Services, N.A.",Amended,No,1525,15382.06,0
2015,Alumnae Association of Smith College,Alumni Association,Northampton,MA,"FIA Card Services, N.A.",Same,Yes,2071,46318.75,3
2015,Alumni Association of the University of Michigan,Alumni Association,Ann Arbor,MI,"FIA Card Services, N.A.",Amended,Yes,28337,849447.89,1192
2015,Alumni Association of the University of Virginia,Alumni Association,Charlottesville,VA,"FIA Card Services, N.A.",Same,Yes,3132,162603.4,443
2015,American Association for Justice,Other,Washington,DC,"FIA Card Services, N.A.",Amended,Yes,5566,187670.58,20
2015,American Chemical Society,Other,Washington,DC,"FIA Card Services, N.A.",Same,Yes,4630,110512.79,37
2015,American College of Osteopathic Family Physicians,Other,Arlington Heights,IL,"FIA Card Services, N.A.",Amended,No,677,10567.28,0
2015,American Counseling Association,Other,Alexandria,VA,"FIA Card Services, N.A.",Same,Yes,2115,30450.86,161
2015,American Football Coaches Association,Other,Waco,TX,"FIA Card Services, N.A.",Same,Yes,0,0,0
2015,American Veterinary Medical Association,Other,Schaumburg,IL,"FIA Card Services, N.A.",Amended,Yes,4944,169873.49,179
2015,Arkansas Alumni Association Inc ,Alumni Association,Fayetteville,AR,"FIA Card Services, N.A.",Same,Yes,4384,150694.63,338
2015,Association of Former Students of Texas AM University,Alumni Association,College Station,TX,"FIA Card Services, N.A.",Amended,Yes,25639,910400,739
2015,Auburn University,University,Auburn,AL,"FIA Card Services, N.A.",Amended,Yes,12387,428400,524
2015,Board of Regents of the University of Oklahoma,University,Norman,OK,"FIA Card Services, N.A.",Same,Yes,958,0,0
2015,Brandeis University,University,Waltham,MA,"FIA Card Services, N.A.",Same,Yes,1161,26831.26,5
2015,Brown Alumni Association,Alumni Association,Providence,RI,"FIA Card Services, N.A.",Same,Yes,7145,198000,367
2015,California Aggie Alumni Association,Alumni Association,Davis,CA,"FIA Card Services, N.A.",Same,No,262,0,0
2015,California Alumni Association,Alumni Association,Berkeley,CA,"FIA Card Services, N.A.",Amended,Yes,17782,497581.79,1281
2015,Central Michigan University,University,Mount Pleasant,MI,"FIA Card Services, N.A.",Same,Yes,287,150000,3
2015,Clemson Alumni Association,Alumni Association,Clemson,SC,"FIA Card Services, N.A.",Same,Yes,10912,318075,824
2015,East Carolina University Alumni Association Inc,Alumni Association,Greenville,NC,"FIA Card Services, N.A.",Amended,Yes,2622,61800,214
2015,Edinboro University of Pennsylvania Alumni Association,Alumni Association,Edinboro,PA,"FIA Card Services, N.A.",Amended,Yes,885,7668.5,0
2015,Emory University,University,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,1973,36784.92,6
2015,Florida Atlantic University Foundation Inc,Foundation,Boca Raton,FL,"FIA Card Services, N.A.",Amended,Yes,2178,0,36
2015,Florida International University Foundation Inc,Foundation,Miami,FL,"FIA Card Services, N.A.",Same,Yes,5309,0,217
2015,Fordham University,University,Bronx,NY,"FIA Card Services, N.A.",Same,Yes,5122,285375,81
2015,General Alumni Assoc of Univ of N Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC,"FIA Card Services, N.A.",Same,Yes,15286,1250000,484
2015,Georgetown University Alumni Association,Alumni Association,Washington,DC,"FIA Card Services, N.A.",Amended,Yes,7114,291200,302
2015,Georgia Southern University Foundation Inc,Foundation,Statesboro,GA,"FIA Card Services, N.A.",Amended,Yes,2455,40357.89,162
2015,Golden Key International Honour Society,Other,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,25432,905983.43,412
2015,Howard University Department of Alumni Relations,Alumni Association,Washington,DC,"FIA Card Services, N.A.",Amended,Yes,852,17156.96,5
2015,Indiana State University Foundation Inc,Foundation,Terre Haute,IN,"FIA Card Services, N.A.",Amended,No,1557,16640.64,2
2015,Indiana University Alumni Association,Alumni Association,Bloomington,IN,"FIA Card Services, N.A.",Same,Yes,20790,377216.69,973
2015,Institute of Industrial Engineers,Other,Norcross,GA,"FIA Card Services, N.A.",Amended,No,1106,12138.6,0
2015,Iowa State University Alumni Association,Alumni Association,Ames,IA,"FIA Card Services, N.A.",Amended,Yes,11624,290500,318
2015,Johns Hopkins University,University,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,5031,168439.71,191
2015,LaSalle University Alumni Association,Alumni Association,Philadelphia,PA,"FIA Card Services, N.A.",Same,Yes,1155,19069.01,3
2015,Loyola College in Maryland,University,Baltimore,MD,"FIA Card Services, N.A.",Amended,No,1390,0,0
2015,Loyola University New Orleans,University,New Orleans,LA,"FIA Card Services, N.A.",Amended,No,955,12426.8,0
2015,LSU Alumni Association,Alumni Association,Baton Rouge,LA,"FIA Card Services, N.A.",Same,Yes,6631,255932.64,287
2015,Mississippi State University Alumni Association,Alumni Association,Mississippi State,MS,"FIA Card Services, N.A.",Amended,Yes,5900,428500,301
2015,Missouri State University Foundation,Foundation,Springfield,MO,"FIA Card Services, N.A.",Same,Yes,2294,25243.43,98
2015,National Alumni Association of the University of Alabama,Alumni Association,Tuscaloosa,AL,"FIA Card Services, N.A.",Amended,No,10952,0,235
2015,New Mexico State University Alumni Association,Alumni Association,Las Cruces,NM,"FIA Card Services, N.A.",Amended,Yes,1935,31970.21,1
2015,New York University Alumni Association,Alumni Association,New York,NY,"FIA Card Services, N.A.",Same,Yes,9623,219600,1104
2015,Northeastern University,University,Boston,MA,"FIA Card Services, N.A.",Amended,Yes,5176,67000,1074
2015,Omicron Delta Kappa,Other,Lexington,VA,"FIA Card Services, N.A.",Amended,Yes,927,14940.72,0
2015,Oswego Alumni Association ,Alumni Association,Oswego,NY,"FIA Card Services, N.A.",Same,Yes,966,12215.33,0
2015,Penn State Alumni Association,Alumni Association,University Park,PA,"FIA Card Services, N.A.",Amended,Yes,54230,1788800,1534
2015,Phi Theta Kappa International Honor Society,Other,Jackson,MS,"FIA Card Services, N.A.",Amended,Yes,10804,135732.06,160
2015,Saint Louis University,University,St. Louis,MO,"FIA Card Services, N.A.",Same,Yes,2189,40331.32,7
2015,Seminole Boosters Inc,Other,Tallahassee,FL,"FIA Card Services, N.A.",Amended,Yes,5942,102922.83,355
2015,Shippensburg University Foundation Inc,Foundation,Shippensburg,PA,"FIA Card Services, N.A.",Same,No,1096,3892.92,0
2015,Sigma Alpha Iota International Music Fraternity,Other,Asheville,NC,"FIA Card Services, N.A.",Amended,No,460,6327.37,0
2015,Sigma Theta Tau International Honor Society of Nursing Inc,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,3955,53410.78,190
2015,St John's University New York,University,Queens,NY,"FIA Card Services, N.A.",Amended,Yes,6240,91988.57,222
2015,Stanford Alumni Association,Alumni Association,Stanford,CA,"FIA Card Services, N.A.",Same,Yes,12572,1000000,262
2015,State University of Iowa Alumni Association,Alumni Association,Iowa City,IA,"FIA Card Services, N.A.",Same,Yes,11891,459300,502
2015,Temple University of the Commonwealth System of Higher Education,University,Philadelphia,PA,"FIA Card Services, N.A.",Amended,Yes,2110,197985.91,55
2015,Texas Christian University,University,Fort Worth,TX,"FIA Card Services, N.A.",Same,No,2573,34860.84,0
2015,Texas State Alumni Association,Alumni Association,San Marcos,TX,"FIA Card Services, N.A.",Amended,Yes,1691,22046.79,47
2015,The Catholic University of America,University,Washington,DC,"FIA Card Services, N.A.",Amended,Yes,852,18442.66,2
2015,The College of the Holy Cross General Alumni Association,Alumni Association,Worcester,MA,"FIA Card Services, N.A.",Amended,Yes,1522,49280.93,7
2015,The Ex Students Association of The University of Texas,Alumni Association,Austin,TX,"FIA Card Services, N.A.",Same,Yes,23573,1031600,803
2015,The Foundation of the University of North Carolina at Charlotte,Foundation,Charlotte,NC,"FIA Card Services, N.A.",Amended,Yes,2045,33600,174
2015,The George Washington Alumni Association,Alumni Association,Washington,DC,"FIA Card Services, N.A.",Same,Yes,2720,55000,140
2015,The Trustees of Columbia University,University,New York,NY,"FIA Card Services, N.A.",Same,Yes,7475,149950.66,449
2015,The University of Georgia Foundation,Foundation,Athens,GA,"FIA Card Services, N.A.",Amended,Yes,17127,602475,811
2015,The William and Mary Alumni Association,Alumni Association,Williamsburg,VA,"FIA Card Services, N.A.",Amended,Yes,4138,102600,92
2015,Trustees of the University of Pennsylvania,University,Philadelphia,PA,"FIA Card Services, N.A.",Amended,Yes,8507,230200,308
2015,UB Alumni Association Inc,Alumni Association,Buffalo,NY,"FIA Card Services, N.A.",Amended,Yes,2127,25335.94,276
2015,UCLA Alumni Association,Alumni Association,Los Angeles,CA,"FIA Card Services, N.A.",Same,Yes,24318,504337.4,1635
2015,University of Arizona Alumni Association,Alumni Association,Tucson,AZ,"FIA Card Services, N.A.",Amended,Yes,9800,503654,469
2015,University of California Irvine Alumni Association,Alumni Association,Irvine,CA,"FIA Card Services, N.A.",Amended,Yes,3441,50000,183
2015,University of California Santa Cruz Alumni Association,Alumni Association,Santa Cruz,CA,"FIA Card Services, N.A.",Amended,No,2254,30650.22,1
2015,University of Central Florida Alumni Association,Alumni Association,Orlando,FL,"FIA Card Services, N.A.",Amended,Yes,8965,348043.81,646
2015,University of Cincinnati,University,Cincinnati,OH,"FIA Card Services, N.A.",Amended,No,265,150,0
2015,University of Colorado ,University,Boulder,CO,"FIA Card Services, N.A.",Same,Yes,6511,211200,150
2015,University of Dayton,University,Dayton,OH,"FIA Card Services, N.A.",Same,No,982,75,0
2015,University of Delaware Alumni Association,Alumni Association,Newark,DE,"FIA Card Services, N.A.",Amended,Yes,7498,105000,266
2015,University of Houston Alumni Association,Alumni Association,Houston,TX,"FIA Card Services, N.A.",Same,Yes,1814,53600,440
2015,University of Mary Washington Alumni Association and University of Mary Washington Foundation ,Alumni Association,Fredricksburg,VA,"FIA Card Services, N.A.",Amended,No,475,7601.52,0
2015,University of Memphis,University,Memphis,TN,"FIA Card Services, N.A.",Amended,No,123,150,1
2015,University of Miami,University,Coral Gables,FL,"FIA Card Services, N.A.",Amended,Yes,6384,411956.85,699
2015,University of Minnesota Alumni Association,Alumni Association,Minneapolis,MN,"FIA Card Services, N.A.",Same,Yes,1841,478525,340
2015,University of Missouri Alumni Association,Alumni Association,Columbia,MO,"FIA Card Services, N.A.",Amended,Yes,9146,500294.67,487
2015,University of New Hampshire Alumni Association,Alumni Association,Durham,NH,"FIA Card Services, N.A.",Same,Yes,3847,90000,169
2015,University of New Mexico Alumni Association,Alumni Association,Albuquerque,NM,"FIA Card Services, N.A.",Same,Yes,2198,25574.72,158
2015,University of North Carolina Greensboro Alumni Association,Alumni Association,Greensboro,NC,"FIA Card Services, N.A.",Same,No,1624,6927.76,0
2015,University of Northern Iowa Alumni Association,Alumni Association,Cedar Falls,IA,"FIA Card Services, N.A.",Same,Yes,2818,42662.19,11
2015,University of Notre Dame,University,Notre Dame,IN,"FIA Card Services, N.A.",Amended,Yes,5751,308799.87,900
2015,University of Scranton ,University,Scranton,PA,"FIA Card Services, N.A.",Same,Yes,1729,37236.85,8
2015,University of Southern California,University,Los Angeles,CA,"FIA Card Services, N.A.",Amended,Yes,20127,759100,1784
2015,University of Southern Mississippi Alumni Association Inc,Alumni Association,Hattiesburg,MS,"FIA Card Services, N.A.",Amended,Yes,2080,26300,155
2015,University of Texas at El Paso Alumni Association,Alumni Association,El Paso,TX,"FIA Card Services, N.A.",Same,Yes,2040,22620.41,2
2015,University of Wisconsin Foundation,Foundation,Madison,WI,"FIA Card Services, N.A.",Amended,No,16359,6975,458
2015,Villanova University,University,Villanova,PA,"FIA Card Services, N.A.",Amended,Yes,4286,66484.38,84
2015,Wake Forest University,University,Winston Salem,NC,"FIA Card Services, N.A.",Amended,Yes,2387,50440.77,91
2015,Washington State University Alumni Association,Alumni Association,Pullman,WA,"FIA Card Services, N.A.",Same,Yes,5877,131853.82,254
2015,Purdue Alumni Association ,Alumni Association,West Lafayette,IN,Purdue Federal Credit Union,Same,Yes,27211,1000000,2915
2016,Coastal Carolina University,University,Conway,SC,Carolina Trust Federal Credit Union,Open,Yes,204,1536,58
2016,Wright State University Alumni Association,Alumni Association,Fairborn,OH,Wright-Patt Credit Union,Same,Yes,496,7359,60
2016,University of Southern California,University,Los Angeles,CA,USC Credit Union,Same,Yes,1796,241645,160
2016,Georgia State University Alumni Association,Alumni Association,Atlanta,GA,Georgia's Own Credit Union,Amended,Yes,113,102633,60
2016,Biola University Incorporated,University,La Mirada,CA,Christian Community Credit Union,Same,Yes,176,5271,38
2016,Massachusetts Institute of Technology (MIT) Alumni Association,Alumni Association,Cambridge,MA,MIT Federal Credit Union,Same,Yes,2147,60528,368
2016,Purdue Alumni Association ,Alumni Association,West Lafayette,IN,Purdue Federal Credit Union,Same,Yes,28663,1000000,2384
2016,University of Wyoming Alumni Association,Alumni Association,Laramie,WY,First Interstate Bank,Same ,Yes ,119,7625,34
2016,The University of West Georgia Foundation,Alumni Association,Carrollton,GA,The Southern Credit Union,Same,Yes,16,120,5
2016,Alumnae Association of Smith College,Alumni Association,Northampton,MA,Bank of America,Same,Yes,1947,48174.51,13
2016,Alumni Association of the University of Michigan,Alumni Association,Ann Arbor,MI,Bank of America,Amended,Yes,27346,2417457.31,969
2016,Alumni Association of the University of Virginia,Alumni Association,Charlottesville,VA,Bank of America,Amended,Yes,3367,172141.85,414
2016,American Association for Justice,Other,Washington,DC,Bank of America,Same,Yes,5330,191205.04,23
2016,American Chemical Society,Other,Washington,DC,Bank of America,Amended,Yes,4505,103863.33,128
2016,American Counseling Association,Other,Alexandria,VA,Bank of America,Amended,Yes,2090,29926.1,160
2016,American Football Coaches Association,Other,Waco,TX,Bank of America,Same,No,0,0,0
2016,American Veterinary Medical Association,Other,Schaumburg,IL,Bank of America,Amended,Yes,5258,155591.7,54
2016,Arkansas Alumni Association Inc ,Alumni Association,Fayetteville,AR,Bank of America,Same,Yes,4404,83179.45,349
2016,Association of Former Students of Texas AM University,Alumni Association,College Station,TX,Bank of America,Same,Yes,24687,914500,665
2016,Auburn Spirit Foundation,University,Auburn,AL,Bank of America,Amended,Yes,11883,409000,384
